Mechanism,Community_ID,Manuscript_label,Community_size,Library,Term,Overlap,P_value,Adjusted_P_value,Odds_Ratio,Combined_Score,Genes
DNA-RNA cross-attention,0,,329,Reactome_2022,Formation Of Cornified Envelope R-HSA-6809371,8/74,2.889e-05,2.011e-02,7.403,77.376,SPRR2E;LCE1B;LCE2C;SPRR2F;LCE3A;LELP1;LCE3E;LCE1D
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,RNA Processing (GO:0006396),16/183,2.590e-12,3.144e-09,12.647,337.408,SF3B4;SF3A3;RBM8A;PABPC4;TUT4;NOL9;HNRNPR;ADAR;SFPQ;SNRNP40;EXOSC10;PRPF3;MAGOH;SNRPG;SRSF4;BCAS2
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,"mRNA Splicing, Via Spliceosome (GO:0000398)",16/211,2.273e-11,1.379e-08,10.815,265.057,SF3B4;SF3A3;RBM8A;DDX1;HNRNPR;SFPQ;SNRNP40;SYF2;PRPF3;MAGOH;SNRPG;SNRNP27;SRSF4;PPIH;SRSF10;BCAS2
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,mRNA Processing (GO:0006397),15/214,2.981e-10,9.235e-08,9.867,216.424,SF3B4;SF3A3;RBM8A;HNRNPR;SFPQ;SNRNP40;SYF2;PRPF3;MAGOH;SNRPG;SNRNP27;SRSF4;PPIH;SRSF10;BCAS2
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",14/180,3.043e-10,9.235e-08,10.986,240.729,SF3B4;SF3A3;RBM8A;HNRNPR;SNRNP40;SYF2;PRPF3;MAGOH;SNRPG;SNRNP27;SRSF4;PPIH;SRSF10;BCAS2
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,RNA Splicing (GO:0008380),11/98,5.198e-10,1.262e-07,16.213,346.605,SF3B4;SF3A3;SFPQ;SNRNP40;RBM8A;PRPF3;MAGOH;SNRPG;SRSF4;SRSF10;BCAS2
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,mRNA Metabolic Process (GO:0016071),9/85,3.425e-08,5.940e-06,14.999,257.832,SF3B4;SF3A3;SFPQ;PNPT1;YTHDF2;PRPF3;HNRNPR;SRSF4;ZFP36L2
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,"RNA Splicing, Via Transesterification Reactions (GO:0000375)",6/24,3.425e-08,5.940e-06,41.545,714.141,SF3A3;SF3B4;SNRNP40;PRPF3;SRSF4;SRSF10
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Regulation Of mRNA Catabolic Process (GO:0061013),7/46,9.349e-08,1.419e-05,22.488,363.981,PNPT1;YTHDF2;RBM8A;MAGOH;RC3H1;PUM1;ZFP36L2
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,mRNA Catabolic Process (GO:0006402),6/43,1.363e-06,1.838e-04,20.192,272.708,EXOSC10;PNPT1;YTHDF2;TUT4;RC3H1;ZFP36L2
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Regulation Of Translational Initiation (GO:0006446),6/65,1.590e-05,1.930e-03,12.649,139.758,YTHDF2;DDX1;TPR;MTIF2;EIF4G3;UHMK1
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Chromatin Remodeling (GO:0006338),10/228,2.037e-05,2.248e-03,5.806,62.709,SFPQ;KDM1A;RBBP4;SETDB1;HDAC1;MTF2;HP1BP3;ARID1A;RNF2;UCHL5
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,mRNA Destabilization (GO:0061157),5/43,2.687e-05,2.718e-03,16.280,171.344,YTHDF2;TUT4;RC3H1;PUM1;ZFP36L2
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,RNA Metabolic Process (GO:0016070),7/111,3.788e-05,3.537e-03,8.405,85.577,SNRNP40;PNPT1;EXOSC10;PAPOLG;PABPC4;ADAR;NOL9
