gene_name,chrom,tss,strand,ensembl_id
CD52,chr1,26317958,+,ENSG00000169442
CD58,chr1,116571026,-,ENSG00000116815
FCGR2A,chr1,161505430,+,ENSG00000143226
CD55,chr1,207321519,+,ENSG00000196352
ITGB1,chr10,33005792,-,ENSG00000150093
ENTPD1,chr10,95711779,+,ENSG00000138185
CD81,chr11,2376166,+,ENSG00000110651
CD44,chr11,35138882,+,ENSG00000026508
CD82,chr11,44564414,+,ENSG00000085117
SLC3A2,chr11,62855970,+,ENSG00000168003
KLRG1,chr12,8950044,+,ENSG00000139187
CD69,chr12,9760901,-,ENSG00000110848
KLRD1,chr12,10226058,+,ENSG00000134539
TNFSF13B,chr13,108251240,+,ENSG00000102524
LGALS3,chr14,55121352,+,ENSG00000131981
B2M,chr15,44711253,+,ENSG00000166710
IL21R,chr16,27402174,+,ENSG00000103522
CD19,chr16,28931965,+,ENSG00000177455
ITGAE,chr17,3801193,-,ENSG00000083457
TNFSF9,chr19,6531026,+,ENSG00000125657
ICAM1,chr19,10271093,+,ENSG00000090339
NECTIN2,chr19,44846175,+,ENSG00000130202
EPCAM,chr2,47345158,+,ENSG00000119888
CD40,chr20,46118249,+,ENSG00000101017
TFRC,chr3,196082162,-,ENSG00000072274
CD83,chr6,14117256,+,ENSG00000112149
MSR1,chr8,16567490,-,ENSG00000038945
GFI1B,chr9,132944000,+,ENSG00000165702
